item_name	select_item	view_item	add_to_cart	purchase
Google Incognito Dopp Kit V2	14	4	0	0
Google Incognito Laptop Organizer	14	4	0	0
Google Boulder Campus Mug	14	3	1	0
Google Seattle Campus Sticker	13	8	5	0
Google PNW Campus Sticker	13	7	6	0
Google LA Campus Sticker	13	7	3	0
Android Iconic Notebook	13	7	2	0
Google Boulder Campus Sticker	13	4	4	0
Google Campus Bike	13	4	1	0
Google SF Campus Lapel Pin	13	4	0	0
Google Austin Campus Bottle	13	3	1	0
Google Austin Campus Tote	12	3	1	0
Google Beekeepers Onesie Pink	12	2	0	0
Google Sustainable Pencil Pouch	12	1	0	0
Google Women's Pride Eco-Tee Black	11	4	1	0
Android Hipster Pin	11	0	0	0
Google Utensil Set	10	7	1	0
Google PNW Campus Bottle	10	4	3	0
Google LA Campus Bottle	10	3	0	0
Google Chicago Campus Ladies Tee	10	2	2	0
Google Boulder Campus Bottle	10	1	1	0
Google Boulder Campus Unisex Tee	10	1	1	0
Google Striped Penny Pouch	9	6	1	0
Google PNW Campus Unisex Tee	9	4	3	0
Google PNW Campus Tote	9	4	3	0
Gift Card - $25.00	9	4	2	0
Google Cork Journal	9	4	1	0
Google LA Campus Ladies Tee	9	3	0	0
Google LA Campus Lapel Pin	9	3	0	0
Google LA Campus Unisex Tee	9	3	0	0
Google Chicago Campus Unisex Tee	9	2	2	0
Google Chicago Campus Bottle	9	1	1	0
Google Boulder Campus Ladies Tee	9	1	1	0
Google Clear Framed Blue Shades	9	1	0	0
Google Bot (Multicolored)	9	0	0	0
#IamRemarkable Tote	9	0	0	0
Google Boulder Campus Lapel Pin	9	0	0	0
Google Cambridge Campus Lapel Pin	9	0	0	0
Google PNW Campus Lapel Pin	8	4	3	0
Gift Card - $10.00	8	4	2	0
Google Felt Refillable Journal	8	4	2	0
Google Black Cloud Zip Hoodie	8	4	0	0
Google Kirkland Campus Mug	8	2	0	0
Google Chicago Campus Tote	8	1	1	0
Gift Card - $250.00	7	4	2	0
Google Frisbee	7	4	1	0
Google Recycled Notebook Set Natural	7	3	1	0
Google Seattle Campus Lapel Pin	7	3	1	0
Google Seattle Campus Unisex Tee	7	1	0	0
Google Maps Pin	7	0	0	0
Google Split Seam Tee Olive	6	5	2	0
Google Bellevue Campus Sticker	6	3	3	0
Google Magnet	6	2	1	0
Google Pen Lilac	6	2	1	0
Google Clear Framed Gray Shades	6	1	0	0
Google Mural Tote	6	1	0	0
Google Yellow YoYo	6	0	0	0
Google Kirkland Campus Sticker	5	3	3	0
Android Pocket Tee Green	5	3	2	0
Google 24 oz Ring Bottle Red	5	2	1	0
Google Chrome Dino Light Up Water Bottle	5	2	0	0
Android Lumberjack Pin	5	1	0	0
Google Chrome Dinosaur Collectible	5	0	0	0
Google Soft Modal Scarf	4	1	0	0
Android Geek Pin	4	0	0	0
Gift Card- $100.00	4	0	0	0
Google Pen Neon Coral	3	2	1	0
Google Bot	3	2	0	0
Google Totepak	3	1	0	0
Google Lapel Pin	3	1	0	0
Google Red YoYo	3	1	0	0
Google Beekeepers Toddler Tee Pink	3	0	0	0
Stan and Friends Toddler Tee Green	3	0	0	0
Google Felt Strap Keyring	3	0	0	0
Google Pen Red	2	2	1	0
Google SF Campus Tote	2	1	1	0
Google Keychain	2	1	0	0
Daddy Works at Google Book	2	0	0	0
Google Large White Gift Bag 5/PK	2	0	0	0
Google Kirkland Campus Unisex Tee	2	0	0	0
Google Kirkland Campus Ladies Tee	2	0	0	0
Google Small White Gift Bag 5/PK	2	0	0	0
BLM Unisex Pullover Hoodie	2	0	0	0
Google Medium Pet Leash (Red/Yellow)	1	1	0	0
